H,060929,01060929,,,,,,,
I,86,,121.2937,,426700406000,,,52010229,20060929
I,96,,160.1278,,426700407000,,,52010229,20060929
I,20,,162.792,,426700408000,,,52010229,20060929
I,18,,187.5057,,426700409000,,,52010229,20060929
I,60,,184.4806,,426700410000,,,52010229,20060929
I,478,,121.2937,,426700406000,,,52010236,20060929
I,202,,160.1278,,426700407000,,,52010236,20060929
I,218,,162.792,,426700408000,,,52010236,20060929
I,330,,187.5057,,426700409000,,,52010236,20060929
I,156,,184.4806,,426700410000,,,52010236,20060929
T,259972.0204,,,,,,,,
