H,060925,01060925,,,,,,,
I,370,,121.2937,,426700406000,,,52010178,20060925
I,158,,160.1278,,426700407000,,,52010178,20060925
I,186,,162.792,,426700408000,,,52010178,20060925
I,240,,187.5057,,426700409000,,,52010178,20060925
I,118,,184.4806,,426700410000,,,52010178,20060925
I,494,,121.2937,,426700406000,,,52010183,20060925
I,186,,160.1278,,426700407000,,,52010183,20060925
I,232,,162.792,,426700408000,,,52010183,20060925
I,332,,187.5057,,426700409000,,,52010183,20060925
I,172,,184.4806,,426700410000,,,52010183,20060925
T,388681.4104,,,,,,,,
