H,20080630,1130,PT,ASM
O,52015324,,,
I,4260004B9000,4260004B9000,76,EA
O,52015324,,,
I,4260004C0000,4260004C0000,36,EA
O,52015324,,,
I,4260004C1000,4260004C1000,71,EA
O,52015324,,,
I,4260004C2000,4260004C2000,21,EA
O,52015324,,,
I,42600AD09300,42600AD09300,82,EA
O,52015324,,,
I,42600AD11400,42600AD11400,74,EA
O,52015324,,,
I,42600AD13300,42600AD13300,72,EA
O,52015324,,,
I,42600AD15300,42600AD15300,140,EA
O,52015324,,,
I,42600AD17300,42600AD17300,40,EA
O,52015324,,,
I,426700406000,426700406000,82,EA
O,52015324,,,
I,426700407000,426700407000,74,EA
O,52015324,,,
I,426700408000,426700408000,72,EA
O,52015325,,,
I,426700409000,426700409000,140,EA
O,52015325,,,
I,426700410000,426700410000,40,EA
