H,20080707,1130,PT,ASM
O,52015381,,,
I,4260004B9000,4260004B9000,298,EA
O,52015381,,,
I,4260004C0000,4260004C0000,141,EA
O,52015381,,,
I,4260004C1000,4260004C1000,292,EA
O,52015381,,,
I,4260004C2000,4260004C2000,81,EA
O,52015381,,,
I,42600AD09300,42600AD09300,326,EA
O,52015381,,,
I,42600AD11400,42600AD11400,272,EA
O,52015381,,,
I,42600AD13300,42600AD13300,278,EA
O,52015381,,,
I,42600AD15300,42600AD15300,586,EA
O,52015381,,,
I,42600AD17300,42600AD17300,162,EA
O,52015381,,,
I,426700406000,426700406000,326,EA
O,52015381,,,
I,426700407000,426700407000,272,EA
O,52015381,,,
I,426700408000,426700408000,278,EA
O,52015382,,,
I,426700409000,426700409000,586,EA
O,52015382,,,
I,426700410000,426700410000,162,EA
