H,20080616,1130,PT,ASM
O,52015170,,,
I,4260004B9000,4260004B9000,381,EA
O,52015170,,,
I,4260004C0000,4260004C0000,178,EA
O,52015170,,,
I,4260004C1000,4260004C1000,369,EA
O,52015170,,,
I,4260004C2000,4260004C2000,92,EA
O,52015170,,,
I,42600AD09300,42600AD09300,412,EA
O,52015170,,,
I,42600AD11400,42600AD11400,340,EA
O,52015170,,,
I,42600AD13300,42600AD13300,342,EA
O,52015170,,,
I,42600AD15300,42600AD15300,732,EA
O,52015170,,,
I,42600AD17300,42600AD17300,182,EA
O,52015170,,,
I,426700406000,426700406000,412,EA
O,52015170,,,
I,426700407000,426700407000,340,EA
O,52015170,,,
I,426700408000,426700408000,342,EA
O,52015171,,,
I,426700409000,426700409000,732,EA
O,52015171,,,
I,426700410000,426700410000,182,EA
