H,20080331,1130,PT,ASM
O,52014361,,,
I,42600AD08400,42600AD08400,515,EA
O,52014361,,,
I,42600AD09300,42600AD09300,830,EA
O,52014361,,,
I,42600AD11400,42600AD11400,218,EA
O,52014361,,,
I,42600AD12300,42600AD12300,177,EA
O,52014361,,,
I,42600AD13300,42600AD13300,362,EA
O,52014361,,,
I,42600AD14300,42600AD14300,287,EA
O,52014361,,,
I,42600AD15300,42600AD15300,576,EA
O,52014361,,,
I,42600AD16300,42600AD16300,29,EA
O,52014361,,,
I,42600AD17300,42600AD17300,58,EA
O,52014361,,,
I,426700406000,426700406000,830,EA
O,52014361,,,
I,426700407000,426700407000,218,EA
O,52014361,,,
I,426700408000,426700408000,362,EA
O,52014362,,,
I,426700409000,426700409000,576,EA
O,52014362,,,
I,426700410000,426700410000,58,EA
