H,20080317,1130,PT,ASM
O,52014289,,,
I,42600AD08400,42600AD08400,508,EA
O,52014289,,,
I,42600AD09300,42600AD09300,790,EA
O,52014289,,,
I,42600AD11400,42600AD11400,224,EA
O,52014289,,,
I,42600AD12300,42600AD12300,198,EA
O,52014289,,,
I,42600AD13300,42600AD13300,396,EA
O,52014289,,,
I,42600AD14300,42600AD14300,269,EA
O,52014289,,,
I,42600AD15300,42600AD15300,542,EA
O,52014289,,,
I,42600AD16300,42600AD16300,31,EA
O,52014289,,,
I,42600AD17300,42600AD17300,60,EA
O,52014289,,,
I,426700406000,426700406000,790,EA
O,52014289,,,
I,426700407000,426700407000,224,EA
O,52014289,,,
I,426700408000,426700408000,396,EA
O,52014290,,,
I,426700409000,426700409000,542,EA
O,52014290,,,
I,426700410000,426700410000,60,EA
