H,20081124,1130,PT,ASM
O,52016662,,,
I,4260004B9000,4260004B9000,403,EA
O,52016662,,,
I,4260004C0000,4260004C0000,230,EA
O,52016662,,,
I,4260004C1000,4260004C1000,188,EA
O,52016662,,,
I,4260004C2000,4260004C2000,207,EA
O,52016662,,,
I,42600AD09300,42600AD09300,544,EA
O,52016662,,,
I,42600AD11400,42600AD11400,262,EA
O,52016662,,,
I,42600AD13300,42600AD13300,466,EA
O,52016662,,,
I,42600AD15300,42600AD15300,374,EA
O,52016662,,,
I,42600AD17300,42600AD17300,410,EA
O,52016662,,,
I,426700406000,426700406000,546,EA
O,52016662,,,
I,426700407000,426700407000,262,EA
O,52016662,,,
I,426700408000,426700408000,466,EA
O,52016663,,,
I,426700409000,426700409000,374,EA
O,52016663,,,
I,426700410000,426700410000,410,EA
