H,20081027,1130,PT,ASM
O,52016435,,,
I,4260004B9000,4260004B9000,415,EA
O,52016435,,,
I,4260004C0000,4260004C0000,159,EA
O,52016435,,,
I,4260004C1000,4260004C1000,199,EA
O,52016435,,,
I,4260004C2000,4260004C2000,231,EA
O,52016435,,,
I,42600AD09300,42600AD09300,606,EA
O,52016435,,,
I,42600AD11400,42600AD11400,228,EA
O,52016435,,,
I,42600AD13300,42600AD13300,318,EA
O,52016435,,,
I,42600AD15300,42600AD15300,398,EA
O,52016435,,,
I,42600AD17300,42600AD17300,458,EA
O,52016435,,,
I,426700406000,426700406000,606,EA
O,52016435,,,
I,426700407000,426700407000,228,EA
O,52016435,,,
I,426700408000,426700408000,318,EA
O,52016436,,,
I,426700409000,426700409000,398,EA
O,52016436,,,
I,426700410000,426700410000,458,EA
