H,20080929,1130,PT,ASM
O,52016247,,,
I,4260004B9000,4260004B9000,462,EA
O,52016247,,,
I,4260004C0000,4260004C0000,174,EA
O,52016247,,,
I,4260004C1000,4260004C1000,153,EA
O,52016247,,,
I,4260004C2000,4260004C2000,222,EA
O,52016247,,,
I,42600AD09300,42600AD09300,654,EA
O,52016247,,,
I,42600AD11400,42600AD11400,276,EA
O,52016247,,,
I,42600AD13300,42600AD13300,344,EA
O,52016247,,,
I,42600AD15300,42600AD15300,303,EA
O,52016247,,,
I,42600AD17300,42600AD17300,446,EA
O,52016247,,,
I,426700406000,426700406000,654,EA
O,52016247,,,
I,426700407000,426700407000,276,EA
O,52016247,,,
I,426700408000,426700408000,344,EA
O,52016248,,,
I,426700409000,426700409000,302,EA
O,52016248,,,
I,426700410000,426700410000,446,EA
