H,20090520,1130,PT,ASM
O,52017733,,,
I,4260004B9000,4260004B9000,217,EA
O,52017733,,,
I,4260004C0000,4260004C0000,116,EA
O,52017733,,,
I,4260004C1000,4260004C1000,132,EA
O,52017733,,,
I,4260004C2000,4260004C2000,134,EA
O,52017733,,,
I,42600AD09300,42600AD09300,258,EA
O,52017733,,,
I,42600AD11400,42600AD11400,174,EA
O,52017733,,,
I,42600AD13300,42600AD13300,228,EA
O,52017733,,,
I,42600AD15300,42600AD15300,261,EA
O,52017733,,,
I,42600AD17300,42600AD17300,262,EA
O,52017733,,,
I,426700406000,426700406000,258,EA
O,52017733,,,
I,426700407000,426700407000,174,EA
O,52017733,,,
I,426700408000,426700408000,228,EA
O,52017734,,,
I,426700409000,426700409000,260,EA
O,52017734,,,
I,426700410000,426700410000,262,EA
