H,20090427,1130,PT,ASM
O,52017650,,,
I,4260004B9000,4260004B9000,422,EA
O,52017650,,,
I,4260004C0000,4260004C0000,207,EA
O,52017650,,,
I,4260004C1000,4260004C1000,193,EA
O,52017650,,,
I,4260004C2000,4260004C2000,194,EA
O,52017650,,,
I,42600AD09300,42600AD09300,463,EA
O,52017650,,,
I,42600AD11400,42600AD11400,384,EA
O,52017650,,,
I,42600AD13300,42600AD13300,410,EA
O,52017650,,,
I,42600AD15300,42600AD15300,388,EA
O,52017650,,,
I,42600AD17300,42600AD17300,389,EA
O,52017650,,,
I,426700406000,426700406000,462,EA
O,52017650,,,
I,426700407000,426700407000,384,EA
O,52017650,,,
I,426700408000,426700408000,410,EA
O,52017651,,,
I,426700409000,426700409000,388,EA
O,52017651,,,
I,426700410000,426700410000,388,EA
