H,20090324,1130,PT,ASM
O,52017493,,,
I,4260004B9000,4260004B9000,336,EA
O,52017493,,,
I,4260004C0000,4260004C0000,164,EA
O,52017493,,,
I,4260004C1000,4260004C1000,156,EA
O,52017493,,,
I,4260004C2000,4260004C2000,156,EA
O,52017493,,,
I,42600AD09300,42600AD09300,375,EA
O,52017493,,,
I,42600AD11400,42600AD11400,300,EA
O,52017493,,,
I,42600AD13300,42600AD13300,326,EA
O,52017493,,,
I,42600AD15300,42600AD15300,312,EA
O,52017493,,,
I,42600AD17300,42600AD17300,312,EA
O,52017493,,,
I,426700406000,426700406000,374,EA
O,52017493,,,
I,426700407000,426700407000,300,EA
O,52017493,,,
I,426700408000,426700408000,326,EA
O,52017494,,,
I,426700409000,426700409000,312,EA
O,52017494,,,
I,426700410000,426700410000,312,EA
