H,20091202,1130,PT,ASM
O,52019459,,,
I,4260004B9000,4260004B9000,355,EA
O,52019459,,,
I,4260004C0000,4260004C0000,191,EA
O,52019459,,,
I,4260004C1000,4260004C1000,158,EA
O,52019459,,,
I,4260004C2000,4260004C2000,172,EA
O,52019459,,,
I,42600AD09300,42600AD09300,434,EA
O,52019459,,,
I,42600AD11400,42600AD11400,278,EA
O,52019459,,,
I,42600AD13300,42600AD13300,380,EA
O,52019459,,,
I,42600AD15300,42600AD15300,316,EA
O,52019459,,,
I,42600AD17300,42600AD17300,344,EA
O,52019459,,,
I,426700406000,426700406000,434,EA
O,52019459,,,
I,426700407000,426700407000,278,EA
O,52019459,,,
I,426700408000,426700408000,380,EA
O,52019460,,,
I,426700409000,426700409000,316,EA
O,52019460,,,
I,426700410000,426700410000,344,EA
