H,20090921,1130,PT,ASM
O,52018824,,,
I,4260004B9000,4260004B9000,370,EA
O,52018824,,,
I,4260004C0000,4260004C0000,196,EA
O,52018824,,,
I,4260004C1000,4260004C1000,232,EA
O,52018824,,,
I,4260004C2000,4260004C2000,202,EA
O,52018824,,,
I,42600AD09300,42600AD09300,350,EA
O,52018824,,,
I,42600AD11400,42600AD11400,394,EA
O,52018824,,,
I,42600AD13300,42600AD13300,390,EA
O,52018824,,,
I,42600AD15300,42600AD15300,460,EA
O,52018824,,,
I,42600AD17300,42600AD17300,406,EA
O,52018824,,,
I,426700406000,426700406000,350,EA
O,52018824,,,
I,426700407000,426700407000,394,EA
O,52018824,,,
I,426700408000,426700408000,390,EA
O,52018825,,,
I,426700409000,426700409000,460,EA
O,52018825,,,
I,426700410000,426700410000,406,EA
