H,20090413,1130,PT,ASM
O,52017604,,,
I,4260004B9000,4260004B9000,251,EA
O,52017604,,,
I,4260004C0000,4260004C0000,127,EA
O,52017604,,,
I,4260004C1000,4260004C1000,115,EA
O,52017604,,,
I,4260004C2000,4260004C2000,115,EA
O,52017604,,,
I,42600AD09300,42600AD09300,274,EA
O,52017604,,,
I,42600AD11400,42600AD11400,228,EA
O,52017604,,,
I,42600AD13300,42600AD13300,256,EA
O,52017604,,,
I,42600AD15300,42600AD15300,228,EA
O,52017604,,,
I,42600AD17300,42600AD17300,230,EA
O,52017604,,,
I,426700406000,426700406000,274,EA
O,52017604,,,
I,426700407000,426700407000,228,EA
O,52017604,,,
I,426700408000,426700408000,256,EA
O,52017605,,,
I,426700409000,426700409000,228,EA
O,52017605,,,
I,426700410000,426700410000,230,EA
