H,20090616,1130,PT,ASM
O,52017905,,,
I,4260004B9000,4260004B9000,311,EA
O,52017905,,,
I,4260004C0000,4260004C0000,159,EA
O,52017905,,,
I,4260004C1000,4260004C1000,173,EA
O,52017905,,,
I,4260004C2000,4260004C2000,177,EA
O,52017905,,,
I,42600AD09300,42600AD09300,316,EA
O,52017905,,,
I,42600AD11400,42600AD11400,308,EA
O,52017905,,,
I,42600AD13300,42600AD13300,318,EA
O,52017905,,,
I,42600AD15300,42600AD15300,344,EA
O,52017905,,,
I,42600AD17300,42600AD17300,354,EA
O,52017905,,,
I,426700406000,426700406000,316,EA
O,52017905,,,
I,426700407000,426700407000,308,EA
O,52017905,,,
I,426700408000,426700408000,318,EA
O,52017906,,,
I,426700409000,426700409000,344,EA
O,52017906,,,
I,426700410000,426700410000,354,EA
