H,20091117,1130,PT,ASM
O,52019376,,,
I,4260004B9000,4260004B9000,400,EA
O,52019376,,,
I,4260004C0000,4260004C0000,225,EA
O,52019376,,,
I,4260004C1000,4260004C1000,198,EA
O,52019376,,,
I,4260004C2000,4260004C2000,189,EA
O,52019376,,,
I,42600AD09300,42600AD09300,434,EA
O,52019376,,,
I,42600AD11400,42600AD11400,366,EA
O,52019376,,,
I,42600AD13300,42600AD13300,450,EA
O,52019376,,,
I,42600AD15300,42600AD15300,396,EA
O,52019376,,,
I,42600AD17300,42600AD17300,378,EA
O,52019376,,,
I,426700406000,426700406000,434,EA
O,52019376,,,
I,426700407000,426700407000,366,EA
O,52019376,,,
I,426700408000,426700408000,450,EA
O,52019377,,,
I,426700409000,426700409000,396,EA
O,52019377,,,
I,426700410000,426700410000,378,EA
