H,20090112,11:3,PT,ASM
O,52016912,,,
I,4260004B9000,4260004B9000,332,EA
O,52016912,,,
I,4260004C0000,4260004C0000,179,EA
O,52016912,,,
I,4260004C1000,4260004C1000,197,EA
O,52016912,,,
I,4260004C2000,4260004C2000,208,EA
O,52016912,,,
I,42600AD09300,42600AD09300,360,EA
O,52016912,,,
I,42600AD11400,42600AD11400,306,EA
O,52016912,,,
I,42600AD13300,42600AD13300,358,EA
O,52016912,,,
I,42600AD15300,42600AD15300,394,EA
O,52016912,,,
I,42600AD17300,42600AD17300,414,EA
O,52016912,,,
I,426700406000,426700406000,360,EA
O,52016912,,,
I,426700407000,426700407000,307,EA
O,52016912,,,
I,426700408000,426700408000,358,EA
O,52016913,,,
I,426700409000,426700409000,394,EA
O,52016913,,,
I,426700410000,426700410000,414,EA
