H,20081208,1130,PT,ASM
O,52016737,,,
I,4260004B9000,4260004B9000,223,EA
O,52016737,,,
I,4260004C0000,4260004C0000,127,EA
O,52016737,,,
I,4260004C1000,4260004C1000,129,EA
O,52016737,,,
I,4260004C2000,4260004C2000,133,EA
O,52016737,,,
I,42600AD09300,42600AD09300,261,EA
O,52016737,,,
I,42600AD11400,42600AD11400,184,EA
O,52016737,,,
I,42600AD13300,42600AD13300,254,EA
O,52016737,,,
I,42600AD15300,42600AD15300,260,EA
O,52016737,,,
I,42600AD17300,42600AD17300,266,EA
O,52016737,,,
I,426700406000,426700406000,260,EA
O,52016737,,,
I,426700407000,426700407000,184,EA
O,52016737,,,
I,426700408000,426700408000,254,EA
O,52016738,,,
I,426700409000,426700409000,260,EA
O,52016738,,,
I,426700410000,426700410000,266,EA
