H,20100830,1130,PT,ASM
O,52022025,,,
I,4260004B9000,4260004B9000,365,EA
O,52022025,,,
I,4260004C0000,4260004C0000,218,EA
O,52022025,,,
I,4260004C1000,4260004C1000,260,EA
O,52022025,,,
I,4260004C2000,4260004C2000,265,EA
O,52022025,,,
I,42600AD09300,42600AD09300,294,EA
O,52022025,,,
I,42600AD11400,42600AD11400,439,EA
O,52022025,,,
I,42600AD13300,42600AD13300,438,EA
O,52022025,,,
I,42600AD15300,42600AD15300,518,EA
O,52022025,,,
I,42600AD17300,42600AD17300,442,EA
O,52022025,,,
I,426700406000,426700406000,294,EA
O,52022025,,,
I,426700407000,426700407000,438,EA
O,52022025,,,
I,426700408000,426700408000,438,EA
O,52022026,,,
I,4260004C4000,4260004C4000,86,EA
O,52022026,,,
I,426700409000,426700409000,518,EA
O,52022026,,,
I,426700410000,426700410000,442,EA
O,52022026,,,
I,426700414000,426700414000,86,EA
