H,20091223,1130,PT,ASM
O,52019607,,,
I,4260004B9000,4260004B9000,151,EA
O,52019607,,,
I,4260004C0000,4260004C0000,99,EA
O,52019607,,,
I,4260004C1000,4260004C1000,98,EA
O,52019607,,,
I,4260004C2000,4260004C2000,104,EA
O,52019607,,,
I,42600AD09300,42600AD09300,144,EA
O,52019607,,,
I,42600AD11400,42600AD11400,160,EA
O,52019607,,,
I,42600AD13300,42600AD13300,196,EA
O,52019607,,,
I,42600AD15300,42600AD15300,198,EA
O,52019607,,,
I,42600AD17300,42600AD17300,206,EA
O,52019607,,,
I,426700406000,426700406000,144,EA
O,52019607,,,
I,426700407000,426700407000,160,EA
O,52019607,,,
I,426700408000,426700408000,196,EA
O,52019608,,,
I,426700409000,426700409000,198,EA
O,52019608,,,
I,426700410000,426700410000,206,EA
