H,20100727,1130,PT,ASM
O,52021597,,,
I,4260004B9000,4260004B9000,433,EA
O,52021597,,,
I,4260004C0000,4260004C0000,224,EA
O,52021597,,,
I,4260004C1000,4260004C1000,224,EA
O,52021597,,,
I,4260004C2000,4260004C2000,219,EA
O,52021597,,,
I,42600AD09300,42600AD09300,395,EA
O,52021597,,,
I,42600AD11400,42600AD11400,472,EA
O,52021597,,,
I,42600AD13300,42600AD13300,447,EA
O,52021597,,,
I,42600AD15300,42600AD15300,452,EA
O,52021597,,,
I,426700406000,426700406000,394,EA
O,52021597,,,
I,426700407000,426700407000,473,EA
O,52021597,,,
I,426700408000,426700408000,446,EA
O,52021597,,,
I,426700409000,426700409000,452,EA
O,52021598,,,
I,4260004C4000,4260004C4000,102,EA
O,52021598,,,
I,426700414000,426700414000,102,EA
