H,20100906,1130,PT,ASM
O,52022081,,,
I,4260004B9000,4260004B9000,232,EA
O,52022081,,,
I,4260004C0000,4260004C0000,138,EA
O,52022081,,,
I,4260004C1000,4260004C1000,169,EA
O,52022081,,,
I,4260004C2000,4260004C2000,169,EA
O,52022081,,,
I,42600AD09300,42600AD09300,154,EA
O,52022081,,,
I,42600AD11400,42600AD11400,304,EA
O,52022081,,,
I,42600AD13300,42600AD13300,277,EA
O,52022081,,,
I,42600AD15300,42600AD15300,340,EA
O,52022081,,,
I,42600AD17300,42600AD17300,296,EA
O,52022081,,,
I,426700406000,426700406000,154,EA
O,52022081,,,
I,426700407000,426700407000,305,EA
O,52022081,,,
I,426700408000,426700408000,276,EA
O,52022082,,,
I,4260004C4000,4260004C4000,46,EA
O,52022082,,,
I,426700409000,426700409000,340,EA
O,52022082,,,
I,426700410000,426700410000,297,EA
O,52022082,,,
I,426700414000,426700414000,46,EA
