H,20101213,1130,PT,ASM
O,52022791,,,
I,4260004B9000,4260004B9000,276,EA
O,52022791,,,
I,4260004C0000,4260004C0000,215,EA
O,52022791,,,
I,4260004C1000,4260004C1000,281,EA
O,52022791,,,
I,4260004C2000,4260004C2000,336,EA
O,52022791,,,
I,42600AD09300,42600AD09300,176,EA
O,52022791,,,
I,42600AD11400,42600AD11400,376,EA
O,52022791,,,
I,42600AD13300,42600AD13300,432,EA
O,52022791,,,
I,42600AD15300,42600AD15300,558,EA
O,52022791,,,
I,42600AD17300,42600AD17300,356,EA
O,52022791,,,
I,426700406000,426700406000,176,EA
O,52022791,,,
I,426700407000,426700407000,377,EA
O,52022791,,,
I,426700408000,426700408000,432,EA
O,52022792,,,
I,4260004C4000,4260004C4000,318,EA
O,52022792,,,
I,426700409000,426700409000,558,EA
O,52022792,,,
I,426700410000,426700410000,356,EA
O,52022792,,,
I,426700414000,426700414000,318,EA
