H,20110308,1130,PT,ASM
O,52023714,,,
I,4260004C0000,4260004C0000,154,EA
O,52023714,,,
I,4260004C1000,4260004C1000,196,EA
O,52023714,,,
I,4260004C2000,4260004C2000,210,EA
O,52023714,,,
I,42600AD09300,42600AD09300,212,EA
O,52023714,,,
I,42600AD11400,42600AD11400,255,EA
O,52023714,,,
I,42600AD13300,42600AD13300,312,EA
O,52023714,,,
I,42600AD15300,42600AD15300,389,EA
O,52023714,,,
I,42600AD17300,42600AD17300,240,EA
O,52023714,,,
I,426700406000,426700406000,212,EA
O,52023714,,,
I,426700407000,426700407000,254,EA
O,52023714,,,
I,426700408000,426700408000,313,EA
O,52023715,,,
I,4260004C4000,4260004C4000,178,EA
O,52023715,,,
I,426700409000,426700409000,389,EA
O,52023715,,,
I,426700410000,426700410000,240,EA
O,52023715,,,
I,426700414000,426700414000,178,EA
