H,20101029,1130,PT,ASM
O,52022521,,,
I,4260004B9000,4260004B9000,383,EA
O,52022521,,,
I,4260004C0000,4260004C0000,266,EA
O,52022521,,,
I,4260004C1000,4260004C1000,238,EA
O,52022521,,,
I,4260004C2000,4260004C2000,241,EA
O,52022521,,,
I,42600AD09300,42600AD09300,240,EA
O,52022521,,,
I,42600AD11400,42600AD11400,518,EA
O,52022521,,,
I,42600AD13300,42600AD13300,536,EA
O,52022521,,,
I,42600AD15300,42600AD15300,482,EA
O,52022521,,,
I,42600AD17300,42600AD17300,480,EA
O,52022521,,,
I,426700406000,426700406000,240,EA
O,52022521,,,
I,426700407000,426700407000,518,EA
O,52022521,,,
I,426700408000,426700408000,532,EA
O,52022522,,,
I,4260004C4000,4260004C4000,4,EA
O,52022522,,,
I,426700409000,426700409000,482,EA
O,52022522,,,
I,426700410000,426700410000,480,EA
O,52022522,,,
I,426700414000,426700414000,4,EA
