9304042600AD09300    29140714000748301407210007463114072800073032140804000600331408110005703414081800055435140825000564361409010002343714090800025638140916000194391409220002604014092900026041141006000470
9304042600AD11400    29140714000398301407210003723114072800041832140804000364331408110003663414081800041435140825000460361409010004183714090800039438140916000360391409220003884014092900040041141006000360
9304042600AD13300    29140714000660301407210006583114072800065032140804000648331408110006603414081800064435140825000620361409010006263714090800053638140916000476391409220006064014092900062041141006000610
9304042600AD15300    29140714001068301407210010503114072800101632140804001110331408110010963414081800107435140825001038361409010011563714090800103238140916000970391409220011884014092900118041141006001154
930404260004B9000    29140714000573301407210005593114072800057432140804000482331408110004683414081800048435140825000512361409010003263714090800032538140916000277391409220003244014092900033041141006000415
930404260004C0000    29140714000330301407210003293114072800032532140804000324331408110003303414081800032235140825000310361409010003133714090800026838140916000238391409220003034014092900031041141006000305
930404260004C1000    29140714000534301407210005253114072800050832140804000555331408110005483414081800053735140825000519361409010005783714090800051638140916000485391409220005944014092900059041141006000577
930404260004C2000    29140714000048301407210000673114072800007732140804000063331408110000783414081800007835140825000084361409010001953714090800017838140916000154391409220001934014092900018341141006000139
930404260004C4000    29140714000096301407210001343114072800015432140804000126331408110001563414081800015635140825000168361409010003903714090800035638140916000308391409220003864014092900036641141006000278
930404260004C5000    29140714000052301407210000463114072800003832140804000160331408110001643414081800016435140825000156361409010001943714090800016638140916000152391409220001784014092900018041141006000146
930404260004C6000    29140714000026301407210000233114072800001932140804000080331408110000823414081800008235140825000078361409010000973714090800008338140916000076391409220000894014092900009041141006000073
93040426700406000    29140714000748301407210007463114072800073032140804000600331408110005703414081800055435140825000564361409010002343714090800025638140916000194391409220002604014092900026041141006000470
93040426700407000    29140714000398301407210003723114072800041832140804000364331408110003663414081800041435140825000460361409010004183714090800039438140916000360391409220003884014092900040041141006000360
93040426700408000    29140714000660301407210006583114072800065032140804000648331408110006603414081800064435140825000620361409010006263714090800053638140916000476391409220006064014092900062041141006000610
93040426700409000    29140714001068301407210010503114072800101632140804001110331408110010963414081800107435140825001038361409010011563714090800103238140916000970391409220011884014092900118041141006001154
93040426700414000    29140714000096301407210001343114072800015432140804000126331408110001563414081800015635140825000168361409010003903714090800035638140916000308391409220003864014092900036641141006000278
93040426700415000    29140714000052301407210000463114072800003832140804000160331408110001643414081800016435140825000156361409010001943714090800016638140916000152391409220001784014092900018041141006000146
