H,110930,01110930,,,,,,,
I,418,,104.4153,,4260004B9000,,,52026459,20110930
I,251,,95.2142,,4260004C0000,,,52026459,20110930
I,293,,116.5861,,4260004C1000,,,52026459,20110930
I,300,,135.6271,,4260004C2000,,,52026459,20110930
I,246,,195.8509,,4260004C4000,,,52026460,20110930
I,255,,251.76,,4260004C5000,,,52026460,20110930
I,126,,214.42,,4260004C6000,,,52026459,20110930
I,448,,133.0863,,42600AD09300,,,52026459,20110930
I,387,,167.7455,,42600AD11400,,,52026459,20110930
I,502,,158.5444,,42600AD13300,,,52026459,20110930
I,586,,184.9313,,42600AD15300,,,52026459,20110930
I,354,,203.9723,,42600AD17300,,,52026459,20110930
I,448,,133.9082,,426700406000,,,52026459,20110930
I,386,,168.5318,,426700407000,,,52026459,20110930
I,502,,159.3307,,426700408000,,,52026460,20110930
I,586,,185.806,,426700409000,,,52026460,20110930
I,354,,204.847,,426700410000,,,52026460,20110930
I,246,,196.7256,,426700414000,,,52026460,20110930
I,254,,252.74,,426700415000,,,52026460,20110930
T,1165509.425,,,,,,,,
