H,20061030,1130,PT,ASM
O,52010444,,,
I,42600AD08400,42600AD08400,382,EA
O,52010444,,,
I,42600AD12300,42600AD12300,79,EA
O,52010444,,,
I,42600AD14300,42600AD14300,143,EA
O,52010444,,,
I,42600AD16300,42600AD16300,96,EA
O,52010447,,,
I,42600AD09300,42600AD09300,556,EA
O,52010447,,,
I,42600AD11400,42600AD11400,206,EA
O,52010447,,,
I,42600AD13300,42600AD13300,156,EA
O,52010447,,,
I,42600AD15300,42600AD15300,288,EA
O,52010447,,,
I,42600AD17300,42600AD17300,194,EA
O,52010447,,,
I,4.267E+11,4.267E+11,556,EA
O,52010447,,,
I,4.267E+11,4.267E+11,206,EA
O,52010447,,,
I,4.267E+11,4.267E+11,156,EA
O,52010447,,,
I,4.267E+11,4.267E+11,288,EA
O,52010447,,,
I,4.267E+11,4.267E+11,194,EA
O,52010454,,,
I,42600AD08400,42600AD08400,374,EA
O,52010454,,,
I,42600AD12300,42600AD12300,76,EA
O,52010454,,,
I,42600AD14300,42600AD14300,140,EA
O,52010454,,,
I,42600AD16300,42600AD16300,102,EA
O,52010455,,,
I,42600AD09300,42600AD09300,536,EA
O,52010455,,,
I,42600AD11400,42600AD11400,208,EA
O,52010455,,,
I,42600AD13300,42600AD13300,154,EA
O,52010455,,,
I,42600AD15300,42600AD15300,282,EA
O,52010455,,,
I,42600AD17300,42600AD17300,204,EA
O,52010455,,,
I,4.267E+11,4.267E+11,536,EA
O,52010455,,,
I,4.267E+11,4.267E+11,208,EA
O,52010455,,,
I,4.267E+11,4.267E+11,154,EA
O,52010455,,,
I,4.267E+11,4.267E+11,282,EA
O,52010455,,,
I,4.267E+11,4.267E+11,204,EA
