H,20060918,1130,PT,ASM
O,52010131,,,
I,42600AD08400,42600AD08400,2,EA
O,52010131,,,
I,42600AD11400,42600AD11400,4,EA
O,52010131,,,
I,42600AD16300,42600AD16300,1,EA
O,52010131,,,
I,42600AD17300,42600AD17300,2,EA
O,52010131,,,
I,4.267E+11,4.267E+11,4,EA
O,52010131,,,
I,4.267E+11,4.267E+11,2,EA
O,52010132,,,
I,42600AD08400,42600AD08400,320,EA
O,52010132,,,
I,42600AD09300,42600AD09300,326,EA
O,52010132,,,
I,42600AD11400,42600AD11400,308,EA
O,52010132,,,
I,42600AD12300,42600AD12300,32,EA
O,52010132,,,
I,4.267E+11,4.267E+11,326,EA
O,52010132,,,
I,4.267E+11,4.267E+11,308,EA
