H,20060929,1130,PT,ASM
O,52010229,,,
I,42600AD08400,42600AD08400,93,EA
O,52010229,,,
I,42600AD09300,42600AD09300,86,EA
O,52010229,,,
I,42600AD11400,42600AD11400,96,EA
O,52010229,,,
I,42600AD12300,42600AD12300,9,EA
O,52010229,,,
I,42600AD13300,42600AD13300,20,EA
O,52010229,,,
I,42600AD15300,42600AD15300,18,EA
O,52010229,,,
I,42600AD17300,42600AD17300,60,EA
O,52010229,,,
I,4.267E+11,4.267E+11,86,EA
O,52010229,,,
I,4.267E+11,4.267E+11,96,EA
O,52010229,,,
I,4.267E+11,4.267E+11,20,EA
O,52010229,,,
I,4.267E+11,4.267E+11,18,EA
O,52010229,,,
I,4.267E+11,4.267E+11,60,EA
O,52010230,,,
I,42600AD14300,42600AD14300,10,EA
O,52010230,,,
I,42600AD16300,42600AD16300,28,EA
O,52010236,,,
I,42600AD09300,42600AD09300,478,EA
O,52010236,,,
I,42600AD11400,42600AD11400,202,EA
O,52010236,,,
I,42600AD13300,42600AD13300,218,EA
O,52010236,,,
I,42600AD15300,42600AD15300,330,EA
O,52010236,,,
I,42600AD17300,42600AD17300,156,EA
O,52010236,,,
I,4.267E+11,4.267E+11,478,EA
O,52010236,,,
I,4.267E+11,4.267E+11,202,EA
O,52010236,,,
I,4.267E+11,4.267E+11,218,EA
O,52010236,,,
I,4.267E+11,4.267E+11,330,EA
O,52010236,,,
I,4.267E+11,4.267E+11,156,EA
