H,20060929,1130,PT,ASM
O,52010229,,,
I,426700406000,426700406000,86,EA
O,52010229,,,
I,426700407000,426700407000,96,EA
O,52010229,,,
I,426700408000,426700408000,20,EA
O,52010229,,,
I,426700409000,426700409000,18,EA
O,52010229,,,
I,426700410000,426700410000,60,EA
O,52010236,,,
I,426700406000,426700406000,478,EA
O,52010236,,,
I,426700407000,426700407000,202,EA
O,52010236,,,
I,426700408000,426700408000,218,EA
O,52010236,,,
I,426700409000,426700409000,330,EA
O,52010236,,,
I,426700410000,426700410000,156,EA
