H,20060925,1130,PT,ASM
O,52010178,,,
I,426700406000,426700406000,370,EA
O,52010178,,,
I,426700407000,426700407000,158,EA
O,52010178,,,
I,426700408000,426700408000,186,EA
O,52010178,,,
I,426700409000,426700409000,240,EA
O,52010178,,,
I,426700410000,426700410000,118,EA
O,52010183,,,
I,426700406000,426700406000,494,EA
O,52010183,,,
I,426700407000,426700407000,186,EA
O,52010183,,,
I,426700408000,426700408000,232,EA
O,52010183,,,
I,426700409000,426700409000,332,EA
O,52010183,,,
I,426700410000,426700410000,172,EA
