H,20061009,1130,PT,ASM
O,52010340,,,
I,42600AD08400,42600AD08400,374,EA
O,52010340,,,
I,42600AD12300,42600AD12300,69,EA
O,52010340,,,
I,42600AD14300,42600AD14300,142,EA
O,52010340,,,
I,42600AD16300,42600AD16300,103,EA
O,52010341,,,
I,42600AD09300,42600AD09300,541,EA
O,52010341,,,
I,42600AD11400,42600AD11400,202,EA
O,52010341,,,
I,42600AD13300,42600AD13300,144,EA
O,52010341,,,
I,42600AD15300,42600AD15300,284,EA
O,52010341,,,
I,42600AD17300,42600AD17300,206,EA
O,52010341,,,
I,4.267E+11,4.267E+11,540,EA
O,52010341,,,
I,4.267E+11,4.267E+11,202,EA
O,52010341,,,
I,4.267E+11,4.267E+11,144,EA
O,52010341,,,
I,4.267E+11,4.267E+11,284,EA
O,52010341,,,
I,4.267E+11,4.267E+11,206,EA
