H,20071008,1130,PT,ASM
O,52012834,,,
I,42600AD08400,42600AD08400,340,EA
O,52012834,,,
I,42600AD09300,42600AD09300,326,EA
O,52012834,,,
I,42600AD11400,42600AD11400,352,EA
O,52012834,,,
I,42600AD12300,42600AD12300,107,EA
O,52012834,,,
I,42600AD13300,42600AD13300,208,EA
O,52012834,,,
I,42600AD14300,42600AD14300,97,EA
O,52012834,,,
I,42600AD15300,42600AD15300,192,EA
O,52012834,,,
I,42600AD16300,42600AD16300,148,EA
O,52012834,,,
I,42600AD17300,42600AD17300,306,EA
O,52012834,,,
I,426700406000,426700406000,326,EA
O,52012834,,,
I,426700407000,426700407000,352,EA
O,52012834,,,
I,426700408000,426700408000,208,EA
O,52012835,,,
I,426700409000,426700409000,192,EA
O,52012835,,,
I,426700410000,426700410000,306,EA
