H,20070820,1130,PT,ASM
O,52012483,,,
I,42600AD08400,42600AD08400,351,EA
O,52012483,,,
I,42600AD09300,42600AD09300,426,EA
O,52012483,,,
I,42600AD11400,42600AD11400,280,EA
O,52012483,,,
I,42600AD12300,42600AD12300,81,EA
O,52012483,,,
I,42600AD13300,42600AD13300,160,EA
O,52012483,,,
I,42600AD14300,42600AD14300,95,EA
O,52012483,,,
I,42600AD15300,42600AD15300,194,EA
O,52012483,,,
I,42600AD16300,42600AD16300,169,EA
O,52012483,,,
I,42600AD17300,42600AD17300,332,EA
O,52012483,,,
I,426700406000,426700406000,426,EA
O,52012483,,,
I,426700407000,426700407000,280,EA
O,52012483,,,
I,426700408000,426700408000,160,EA
O,52012484,,,
I,426700409000,426700409000,194,EA
O,52012484,,,
I,426700410000,426700410000,332,EA
