H,20070305,1130,PT,ASM
O,52011255,,,
I,42600AD08400,42600AD08400,158,EA
O,52011255,,,
I,42600AD12300,42600AD12300,64,EA
O,52011255,,,
I,42600AD14300,42600AD14300,73,EA
O,52011255,,,
I,42600AD16300,42600AD16300,105,EA
O,52011256,,,
I,42600AD09300,42600AD09300,230,EA
O,52011256,,,
I,42600AD11400,42600AD11400,88,EA
O,52011256,,,
I,42600AD13300,42600AD13300,126,EA
O,52011256,,,
I,42600AD15300,42600AD15300,148,EA
O,52011256,,,
I,42600AD17300,42600AD17300,208,EA
O,52011256,,,
I,426700406000,426700406000,230,EA
O,52011256,,,
I,426700407000,426700407000,88,EA
O,52011256,,,
I,426700408000,426700408000,126,EA
O,52011256,,,
I,426700409000,426700409000,148,EA
O,52011256,,,
I,426700410000,426700410000,208,EA
