H,20070313,1130,PT,ASM
O,52011288,,,
I,42600AD09300,42600AD09300,222,EA
O,52011288,,,
I,42600AD11400,42600AD11400,77,EA
O,52011288,,,
I,42600AD13300,42600AD13300,108,EA
O,52011288,,,
I,42600AD15300,42600AD15300,117,EA
O,52011288,,,
I,42600AD17300,42600AD17300,160,EA
O,52011288,,,
I,426700406000,426700406000,222,EA
O,52011288,,,
I,426700407000,426700407000,77,EA
O,52011288,,,
I,426700408000,426700408000,108,EA
O,52011288,,,
I,426700409000,426700409000,117,EA
O,52011288,,,
I,426700410000,426700410000,160,EA
