H,20061222,1130,PT,ASM
O,52010857,,,
I,42600AD08400,42600AD08400,419,EA
O,52010857,,,
I,42600AD12300,42600AD12300,119,EA
O,52010857,,,
I,42600AD14300,42600AD14300,128,EA
O,52010857,,,
I,42600AD16300,42600AD16300,36,EA
O,52010858,,,
I,42600AD09300,42600AD09300,652,EA
O,52010858,,,
I,42600AD11400,42600AD11400,178,EA
O,52010858,,,
I,42600AD13300,42600AD13300,234,EA
O,52010858,,,
I,42600AD15300,42600AD15300,256,EA
O,52010858,,,
I,42600AD17300,42600AD17300,70,EA
O,52010858,,,
I,426700406000,426700406000,652,EA
O,52010858,,,
I,426700407000,426700407000,178,EA
O,52010858,,,
I,426700408000,426700408000,234,EA
O,52010858,,,
I,426700409000,426700409000,256,EA
O,52010858,,,
I,426700410000,426700410000,70,EA
