H,20071106,1130,PT,ASM
O,52013012,,,
I,42600AD08400,42600AD08400,138,EA
O,52013012,,,
I,42600AD09300,42600AD09300,140,EA
O,52013012,,,
I,42600AD11400,42600AD11400,140,EA
O,52013012,,,
I,42600AD12300,42600AD12300,40,EA
O,52013012,,,
I,42600AD13300,42600AD13300,80,EA
O,52013012,,,
I,42600AD14300,42600AD14300,51,EA
O,52013012,,,
I,42600AD15300,42600AD15300,98,EA
O,52013012,,,
I,42600AD16300,42600AD16300,67,EA
O,52013012,,,
I,42600AD17300,42600AD17300,134,EA
O,52013012,,,
I,426700406000,426700406000,140,EA
O,52013012,,,
I,426700407000,426700407000,140,EA
O,52013012,,,
I,426700408000,426700408000,80,EA
O,52013013,,,
I,426700409000,426700409000,98,EA
O,52013013,,,
I,426700410000,426700410000,134,EA
