H,20120531,1130,PT,ASM
O,52028892,,,
I,4260004C4000,4260004C4000,160,EA
O,52028892,,,
I,4260004C5000,4260004C5000,192,EA
O,52028892,,,
I,42600AD09300,42600AD09300,302,EA
O,52028892,,,
I,42600AD11400,42600AD11400,416,EA
O,52028892,,,
I,42600AD13300,42600AD13300,440,EA
O,52028892,,,
I,42600AD15300,42600AD15300,468,EA
O,52028892,,,
I,426700406000,426700406000,302,EA
O,52028892,,,
I,426700407000,426700407000,416,EA
O,52028892,,,
I,426700408000,426700408000,441,EA
O,52028892,,,
I,426700409000,426700409000,468,EA
O,52028892,,,
I,426700414000,426700414000,160,EA
O,52028892,,,
I,426700415000,426700415000,194,EA
O,52028894,,,
I,4260004B9000,4260004B9000,357,EA
O,52028894,,,
I,4260004C0000,4260004C0000,219,EA
O,52028894,,,
I,4260004C1000,4260004C1000,236,EA
O,52028894,,,
I,4260004C2000,4260004C2000,231,EA
O,52028894,,,
I,4260004C6000,4260004C6000,97,EA
O,52028894,,,
I,42600AD17300,42600AD17300,302,EA
O,52028894,,,
I,426700410000,426700410000,302,EA
O,52028895,,,
I,4260004B9000,4260004B9000,276,EA
O,52028895,,,
I,4260004C0000,4260004C0000,175,EA
O,52028895,,,
I,4260004C1000,4260004C1000,185,EA
O,52028895,,,
I,4260004C2000,4260004C2000,186,EA
O,52028895,,,
I,4260004C4000,4260004C4000,126,EA
O,52028895,,,
I,4260004C5000,4260004C5000,150,EA
O,52028895,,,
I,4260004C6000,4260004C6000,74,EA
O,52028895,,,
I,42600AD09300,42600AD09300,226,EA
O,52028895,,,
I,42600AD11400,42600AD11400,322,EA
O,52028895,,,
I,426700406000,426700406000,226,EA
O,52028895,,,
I,426700414000,426700414000,126,EA
O,52028895,,,
I,426700415000,426700415000,150,EA
O,52028896,,,
I,42600AD13300,42600AD13300,349,EA
O,52028896,,,
I,42600AD15300,42600AD15300,376,EA
O,52028896,,,
I,42600AD17300,42600AD17300,242,EA
O,52028896,,,
I,426700407000,426700407000,322,EA
O,52028896,,,
I,426700408000,426700408000,348,EA
O,52028896,,,
I,426700409000,426700409000,376,EA
O,52028896,,,
I,426700410000,426700410000,242,EA
