H,20130312,1130,PT,ASM
O,52031767,,,
I,4260004B9000,4260004B9000,273,EA
O,52031767,,,
I,4260004C0000,4260004C0000,224,EA
O,52031767,,,
I,4260004C1000,4260004C1000,314,EA
O,52031767,,,
I,4260004C2000,4260004C2000,246,EA
O,52031767,,,
I,4260004C4000,4260004C4000,206,EA
O,52031767,,,
I,4260004C5000,4260004C5000,104,EA
O,52031767,,,
I,4260004C6000,4260004C6000,51,EA
O,52031767,,,
I,42600AD09300,42600AD09300,280,EA
O,52031767,,,
I,42600AD11400,42600AD11400,270,EA
O,52031767,,,
I,426700406000,426700406000,280,EA
O,52031767,,,
I,426700414000,426700414000,206,EA
O,52031767,,,
I,426700415000,426700415000,104,EA
O,52031768,,,
I,42600AD13300,42600AD13300,436,EA
O,52031768,,,
I,42600AD15300,42600AD15300,624,EA
O,52031768,,,
I,42600AD17300,42600AD17300,286,EA
O,52031768,,,
I,426700407000,426700407000,270,EA
O,52031768,,,
I,426700408000,426700408000,437,EA
O,52031768,,,
I,426700409000,426700409000,624,EA
O,52031768,,,
I,426700410000,426700410000,286,EA
