H,20110523,1130,PT,ASM
O,52024459,,,
I,4260004B9000,4260004B9000,105,EA
O,52024459,,,
I,4260004C0000,4260004C0000,67,EA
O,52024459,,,
I,4260004C1000,4260004C1000,70,EA
O,52024459,,,
I,4260004C2000,4260004C2000,66,EA
O,52024459,,,
I,42600AD09300,42600AD09300,74,EA
O,52024459,,,
I,42600AD11400,42600AD11400,142,EA
O,52024459,,,
I,42600AD13300,42600AD13300,134,EA
O,52024459,,,
I,42600AD15300,42600AD15300,136,EA
O,52024459,,,
I,42600AD17300,42600AD17300,98,EA
O,52024459,,,
I,426700406000,426700406000,74,EA
O,52024459,,,
I,426700407000,426700407000,143,EA
O,52024459,,,
I,426700408000,426700408000,134,EA
O,52024460,,,
I,4260004C4000,4260004C4000,32,EA
O,52024460,,,
I,426700409000,426700409000,136,EA
O,52024460,,,
I,426700410000,426700410000,98,EA
O,52024460,,,
I,426700414000,426700414000,32,EA
