H,20130729,1130,PT,ASM
O,52033628,,,
I,4260004B9000,4260004B9000,491,EA
O,52033628,,,
I,4260004C0000,4260004C0000,245,EA
O,52033628,,,
I,4260004C1000,4260004C1000,286,EA
O,52033628,,,
I,4260004C2000,4260004C2000,303,EA
O,52033628,,,
I,4260004C4000,4260004C4000,122,EA
O,52033628,,,
I,4260004C5000,4260004C5000,110,EA
O,52033628,,,
I,4260004C6000,4260004C6000,55,EA
O,52033628,,,
I,42600AD09300,42600AD09300,616,EA
O,52033628,,,
I,42600AD11400,42600AD11400,368,EA
O,52033628,,,
I,426700406000,426700406000,616,EA
O,52033628,,,
I,426700414000,426700414000,122,EA
O,52033628,,,
I,426700415000,426700415000,110,EA
O,52033629,,,
I,42600AD13300,42600AD13300,466,EA
O,52033629,,,
I,42600AD15300,42600AD15300,570,EA
O,52033629,,,
I,42600AD17300,42600AD17300,486,EA
O,52033629,,,
I,426700407000,426700407000,368,EA
O,52033629,,,
I,426700408000,426700408000,466,EA
O,52033629,,,
I,426700409000,426700409000,570,EA
O,52033629,,,
I,426700410000,426700410000,486,EA
