H,20111121,1130,PT,ASM
O,52027159,,,
I,4260004B9000,4260004B9000,263,EA
O,52027159,,,
I,4260004C0000,4260004C0000,216,EA
O,52027159,,,
I,4260004C1000,4260004C1000,256,EA
O,52027159,,,
I,4260004C2000,4260004C2000,270,EA
O,52027159,,,
I,4260004C6000,4260004C6000,75,EA
O,52027159,,,
I,42600AD09300,42600AD09300,280,EA
O,52027159,,,
I,42600AD11400,42600AD11400,251,EA
O,52027159,,,
I,42600AD13300,42600AD13300,430,EA
O,52027159,,,
I,42600AD15300,42600AD15300,515,EA
O,52027159,,,
I,42600AD17300,42600AD17300,179,EA
O,52027159,,,
I,426700406000,426700406000,280,EA
O,52027159,,,
I,426700407000,426700407000,250,EA
O,52027160,,,
I,4260004C4000,4260004C4000,359,EA
O,52027160,,,
I,4260004C5000,4260004C5000,150,EA
O,52027160,,,
I,426700408000,426700408000,431,EA
O,52027160,,,
I,426700409000,426700409000,514,EA
O,52027160,,,
I,426700410000,426700410000,178,EA
O,52027160,,,
I,426700414000,426700414000,358,EA
O,52027160,,,
I,426700415000,426700415000,150,EA
