H,20140122,1130,PT,ASM
O,52035714,,,
I,4260004B9000,4260004B9000,486,EA
O,52035714,,,
I,4260004C0000,4260004C0000,296,EA
O,52035714,,,
I,4260004C1000,4260004C1000,314,EA
O,52035714,,,
I,4260004C2000,4260004C2000,333,EA
O,52035714,,,
I,4260004C4000,4260004C4000,298,EA
O,52035714,,,
I,4260004C5000,4260004C5000,78,EA
O,52035714,,,
I,4260004C6000,4260004C6000,39,EA
O,52035714,,,
I,42600AD09300,42600AD09300,623,EA
O,52035714,,,
I,42600AD11400,42600AD11400,346,EA
O,52035714,,,
I,426700406000,426700406000,622,EA
O,52035714,,,
I,426700414000,426700414000,298,EA
O,52035714,,,
I,426700415000,426700415000,78,EA
O,52035715,,,
I,42600AD13300,42600AD13300,596,EA
O,52035715,,,
I,42600AD15300,42600AD15300,628,EA
O,52035715,,,
I,42600AD17300,42600AD17300,368,EA
O,52035715,,,
I,426700407000,426700407000,347,EA
O,52035715,,,
I,426700408000,426700408000,596,EA
O,52035715,,,
I,426700409000,426700409000,629,EA
O,52035715,,,
I,426700410000,426700410000,369,EA
