H,20131118,1130,PT,ASM
O,52035063,,,
I,4260004B9000,4260004B9000,450,EA
O,52035063,,,
I,4260004C0000,4260004C0000,251,EA
O,52035063,,,
I,4260004C2000,4260004C2000,311,EA
O,52035063,,,
I,4260004C4000,4260004C4000,184,EA
O,52035063,,,
I,4260004C5000,4260004C5000,116,EA
O,52035063,,,
I,4260004C6000,4260004C6000,58,EA
O,52035063,,,
I,42600AD09300,42600AD09300,400,EA
O,52035063,,,
I,42600AD11400,42600AD11400,500,EA
O,52035063,,,
I,426700406000,426700406000,400,EA
O,52035063,,,
I,426700407000,426700407000,500,EA
O,52035063,,,
I,426700414000,426700414000,184,EA
O,52035063,,,
I,426700415000,426700415000,116,EA
O,52035064,,,
I,4260004C1000,4260004C1000,318,EA
O,52035064,,,
I,42600AD13300,42600AD13300,503,EA
O,52035064,,,
I,42600AD15300,42600AD15300,639,EA
O,52035064,,,
I,42600AD17300,42600AD17300,437,EA
O,52035064,,,
I,426700408000,426700408000,502,EA
O,52035064,,,
I,426700409000,426700409000,639,EA
O,52035064,,,
I,426700410000,426700410000,437,EA
