H,20120714,1130,PT,ASM
O,52029230,,,
I,4260004B9000,4260004B9000,360,EA
O,52029230,,,
I,4260004C0000,4260004C0000,210,EA
O,52029230,,,
I,4260004C1000,4260004C1000,274,EA
O,52029230,,,
I,4260004C2000,4260004C2000,251,EA
O,52029230,,,
I,4260004C5000,4260004C5000,114,EA
O,52029230,,,
I,4260004C6000,4260004C6000,57,EA
O,52029230,,,
I,42600AD09300,42600AD09300,372,EA
O,52029230,,,
I,42600AD11400,42600AD11400,350,EA
O,52029230,,,
I,42600AD13300,42600AD13300,422,EA
O,52029230,,,
I,426700406000,426700406000,372,EA
O,52029230,,,
I,426700407000,426700407000,350,EA
O,52029230,,,
I,426700415000,426700415000,114,EA
O,52029231,,,
I,4260004C4000,4260004C4000,164,EA
O,52029231,,,
I,42600AD15300,42600AD15300,546,EA
O,52029231,,,
I,42600AD17300,42600AD17300,336,EA
O,52029231,,,
I,426700408000,426700408000,422,EA
O,52029231,,,
I,426700409000,426700409000,546,EA
O,52029231,,,
I,426700410000,426700410000,337,EA
O,52029231,,,
I,426700414000,426700414000,164,EA
