H,20110826,1130,PT,ASM
O,52025820,,,
I,4260004B9000,4260004B9000,374,EA
O,52025820,,,
I,4260004C0000,4260004C0000,235,EA
O,52025820,,,
I,4260004C1000,4260004C1000,254,EA
O,52025820,,,
I,4260004C2000,4260004C2000,253,EA
O,52025820,,,
I,42600AD09300,42600AD09300,352,EA
O,52025820,,,
I,42600AD11400,42600AD11400,399,EA
O,52025820,,,
I,42600AD13300,42600AD13300,468,EA
O,52025820,,,
I,42600AD15300,42600AD15300,506,EA
O,52025820,,,
I,42600AD17300,42600AD17300,410,EA
O,52025820,,,
I,426700406000,426700406000,352,EA
O,52025820,,,
I,426700407000,426700407000,398,EA
O,52025820,,,
I,426700408000,426700408000,468,EA
O,52025821,,,
I,4260004C4000,4260004C4000,98,EA
O,52025821,,,
I,426700409000,426700409000,506,EA
O,52025821,,,
I,426700410000,426700410000,410,EA
O,52025821,,,
I,426700414000,426700414000,98,EA
