H,20140627,1130,PT,ASM
O,52037627,,,
I,4260004B9000,4260004B9000,546,EA
O,52037627,,,
I,4260004C0000,4260004C0000,329,EA
O,52037627,,,
I,4260004C1000,4260004C1000,322,EA
O,52037627,,,
I,4260004C2000,4260004C2000,309,EA
O,52037627,,,
I,4260004C4000,4260004C4000,216,EA
O,52037627,,,
I,4260004C5000,4260004C5000,52,EA
O,52037627,,,
I,4260004C6000,4260004C6000,26,EA
O,52037627,,,
I,42600AD09300,42600AD09300,606,EA
O,52037627,,,
I,42600AD11400,42600AD11400,482,EA
O,52037627,,,
I,426700406000,426700406000,606,EA
O,52037627,,,
I,426700414000,426700414000,216,EA
O,52037627,,,
I,426700415000,426700415000,52,EA
O,52037628,,,
I,42600AD13300,42600AD13300,656,EA
O,52037628,,,
I,42600AD15300,42600AD15300,652,EA
O,52037628,,,
I,42600AD17300,42600AD17300,401,EA
O,52037628,,,
I,426700407000,426700407000,483,EA
O,52037628,,,
I,426700408000,426700408000,657,EA
O,52037628,,,
I,426700409000,426700409000,651,EA
O,52037628,,,
I,426700410000,426700410000,401,EA
