H,20110413,1130,PT,ASM
O,52024242,,,
I,4260004B9000,4260004B9000,339,EA
O,52024242,,,
I,4260004C0000,4260004C0000,225,EA
O,52024242,,,
I,4260004C1000,4260004C1000,231,EA
O,52024242,,,
I,4260004C2000,4260004C2000,229,EA
O,52024242,,,
I,42600AD09300,42600AD09300,308,EA
O,52024242,,,
I,42600AD11400,42600AD11400,373,EA
O,52024242,,,
I,42600AD13300,42600AD13300,446,EA
O,52024242,,,
I,42600AD15300,42600AD15300,462,EA
O,52024242,,,
I,42600AD17300,42600AD17300,344,EA
O,52024242,,,
I,426700406000,426700406000,308,EA
O,52024242,,,
I,426700407000,426700407000,373,EA
O,52024242,,,
I,426700408000,426700408000,446,EA
O,52024243,,,
I,4260004C4000,4260004C4000,116,EA
O,52024243,,,
I,426700409000,426700409000,462,EA
O,52024243,,,
I,426700410000,426700410000,344,EA
O,52024243,,,
I,426700414000,426700414000,116,EA
