H,20110924,1130,PT,ASM
O,52026357,,,
I,4260004B9000,4260004B9000,255,EA
O,52026357,,,
I,4260004C0000,4260004C0000,168,EA
O,52026357,,,
I,4260004C1000,4260004C1000,161,EA
O,52026357,,,
I,4260004C2000,4260004C2000,226,EA
O,52026357,,,
I,4260004C6000,4260004C6000,94,EA
O,52026357,,,
I,42600AD09300,42600AD09300,284,EA
O,52026357,,,
I,42600AD11400,42600AD11400,222,EA
O,52026357,,,
I,42600AD13300,42600AD13300,334,EA
O,52026357,,,
I,42600AD15300,42600AD15300,322,EA
O,52026357,,,
I,42600AD17300,42600AD17300,276,EA
O,52026357,,,
I,426700406000,426700406000,284,EA
O,52026357,,,
I,426700407000,426700407000,222,EA
O,52026358,,,
I,4260004C4000,4260004C4000,180,EA
O,52026358,,,
I,4260004C5000,4260004C5000,190,EA
O,52026358,,,
I,426700408000,426700408000,334,EA
O,52026358,,,
I,426700409000,426700409000,322,EA
O,52026358,,,
I,426700410000,426700410000,276,EA
O,52026358,,,
I,426700414000,426700414000,180,EA
O,52026358,,,
I,426700415000,426700415000,190,EA
