H,20110406,1130,PT,ASM
O,52024158,,,
I,4260004B9000,4260004B9000,65,EA
O,52024158,,,
I,4260004C0000,4260004C0000,41,EA
O,52024158,,,
I,4260004C1000,4260004C1000,47,EA
O,52024158,,,
I,4260004C2000,4260004C2000,55,EA
O,52024158,,,
I,42600AD09300,42600AD09300,48,EA
O,52024158,,,
I,42600AD11400,42600AD11400,80,EA
O,52024158,,,
I,42600AD13300,42600AD13300,86,EA
O,52024158,,,
I,42600AD15300,42600AD15300,94,EA
O,52024158,,,
I,42600AD17300,42600AD17300,88,EA
O,52024158,,,
I,426700406000,426700406000,48,EA
O,52024158,,,
I,426700407000,426700407000,80,EA
O,52024158,,,
I,426700408000,426700408000,86,EA
O,52024159,,,
I,4260004C4000,4260004C4000,20,EA
O,52024159,,,
I,426700409000,426700409000,94,EA
O,52024159,,,
I,426700410000,426700410000,89,EA
O,52024159,,,
I,426700414000,426700414000,20,EA
