H,20140507,1130,PT,ASM
O,52036915,,,
I,4260004B9000,4260004B9000,145,EA
O,52036915,,,
I,4260004C0000,4260004C0000,105,EA
O,52036915,,,
I,4260004C1000,4260004C1000,89,EA
O,52036915,,,
I,4260004C2000,4260004C2000,175,EA
O,52036915,,,
I,4260004C4000,4260004C4000,138,EA
O,52036915,,,
I,4260004C5000,4260004C5000,34,EA
O,52036915,,,
I,4260004C6000,4260004C6000,18,EA
O,52036915,,,
I,42600AD09300,42600AD09300,126,EA
O,52036915,,,
I,42600AD11400,42600AD11400,166,EA
O,52036915,,,
I,42600AD13300,42600AD13300,210,EA
O,52036915,,,
I,42600AD15300,42600AD15300,174,EA
O,52036915,,,
I,42600AD17300,42600AD17300,216,EA
O,52036916,,,
I,426700406000,426700406000,126,EA
O,52036916,,,
I,426700407000,426700407000,166,EA
O,52036916,,,
I,426700408000,426700408000,210,EA
O,52036916,,,
I,426700409000,426700409000,174,EA
O,52036916,,,
I,426700410000,426700410000,216,EA
O,52036916,,,
I,426700414000,426700414000,138,EA
O,52036916,,,
I,426700415000,426700415000,34,EA
