H,20120611,1130,PT,ASM
O,52028984,,,
I,4260004B9000,4260004B9000,447,EA
O,52028984,,,
I,4260004C0000,4260004C0000,252,EA
O,52028984,,,
I,4260004C1000,4260004C1000,179,EA
O,52028984,,,
I,4260004C2000,4260004C2000,176,EA
O,52028984,,,
I,4260004C4000,4260004C4000,92,EA
O,52028984,,,
I,4260004C5000,4260004C5000,164,EA
O,52028984,,,
I,4260004C6000,4260004C6000,82,EA
O,52028984,,,
I,42600AD09300,42600AD09300,518,EA
O,52028984,,,
I,42600AD11400,42600AD11400,374,EA
O,52028984,,,
I,426700406000,426700406000,518,EA
O,52028984,,,
I,426700414000,426700414000,92,EA
O,52028984,,,
I,426700415000,426700415000,164,EA
O,52028985,,,
I,42600AD13300,42600AD13300,502,EA
O,52028985,,,
I,42600AD15300,42600AD15300,358,EA
O,52028985,,,
I,42600AD17300,42600AD17300,264,EA
O,52028985,,,
I,426700407000,426700407000,375,EA
O,52028985,,,
I,426700408000,426700408000,502,EA
O,52028985,,,
I,426700409000,426700409000,358,EA
O,52028985,,,
I,426700410000,426700410000,264,EA
