H,20120223,1130,PT,ASM
O,52027958,,,
I,4260004B9000,4260004B9000,337,EA
O,52027958,,,
I,4260004C0000,4260004C0000,219,EA
O,52027958,,,
I,4260004C1000,4260004C1000,204,EA
O,52027958,,,
I,4260004C2000,4260004C2000,201,EA
O,52027958,,,
I,4260004C6000,4260004C6000,119,EA
O,52027958,,,
I,42600AD09300,42600AD09300,340,EA
O,52027958,,,
I,42600AD11400,42600AD11400,333,EA
O,52027958,,,
I,42600AD13300,42600AD13300,444,EA
O,52027958,,,
I,42600AD15300,42600AD15300,408,EA
O,52027958,,,
I,42600AD17300,42600AD17300,217,EA
O,52027958,,,
I,426700406000,426700406000,340,EA
O,52027958,,,
I,426700407000,426700407000,334,EA
O,52027959,,,
I,4260004C4000,4260004C4000,182,EA
O,52027959,,,
I,4260004C5000,4260004C5000,238,EA
O,52027959,,,
I,426700408000,426700408000,445,EA
O,52027959,,,
I,426700409000,426700409000,408,EA
O,52027959,,,
I,426700410000,426700410000,216,EA
O,52027959,,,
I,426700414000,426700414000,182,EA
O,52027959,,,
I,426700415000,426700415000,238,EA
