H,20130507,1130,PT,ASM
O,52032562,,,
I,4260004B9000,4260004B9000,172,EA
O,52032562,,,
I,4260004C0000,4260004C0000,167,EA
O,52032562,,,
I,4260004C1000,4260004C1000,188,EA
O,52032562,,,
I,4260004C2000,4260004C2000,154,EA
O,52032562,,,
I,4260004C4000,4260004C4000,148,EA
O,52032562,,,
I,4260004C5000,4260004C5000,68,EA
O,52032562,,,
I,4260004C6000,4260004C6000,35,EA
O,52032562,,,
I,42600AD09300,42600AD09300,146,EA
O,52032562,,,
I,42600AD11400,42600AD11400,196,EA
O,52032562,,,
I,426700406000,426700406000,146,EA
O,52032562,,,
I,426700414000,426700414000,148,EA
O,52032562,,,
I,426700415000,426700415000,68,EA
O,52032563,,,
I,42600AD13300,42600AD13300,320,EA
O,52032563,,,
I,42600AD15300,42600AD15300,382,EA
O,52032563,,,
I,42600AD17300,42600AD17300,158,EA
O,52032563,,,
I,426700407000,426700407000,196,EA
O,52032563,,,
I,426700408000,426700408000,320,EA
O,52032563,,,
I,426700409000,426700409000,382,EA
O,52032563,,,
I,426700410000,426700410000,158,EA
