H,20140317,1130,PT,ASM
O,52036306,,,
I,4260004B9000,4260004B9000,358,EA
O,52036306,,,
I,4260004C0000,4260004C0000,279,EA
O,52036306,,,
I,4260004C1000,4260004C1000,474,EA
O,52036306,,,
I,4260004C2000,4260004C2000,251,EA
O,52036306,,,
I,4260004C4000,4260004C4000,208,EA
O,52036306,,,
I,4260004C5000,4260004C5000,132,EA
O,52036306,,,
I,4260004C6000,4260004C6000,66,EA
O,52036306,,,
I,42600AD09300,42600AD09300,318,EA
O,52036306,,,
I,42600AD11400,42600AD11400,400,EA
O,52036306,,,
I,42600AD13300,42600AD13300,556,EA
O,52036306,,,
I,42600AD15300,42600AD15300,948,EA
O,52036306,,,
I,42600AD17300,42600AD17300,294,EA
O,52036307,,,
I,426700406000,426700406000,318,EA
O,52036307,,,
I,426700407000,426700407000,401,EA
O,52036307,,,
I,426700408000,426700408000,556,EA
O,52036307,,,
I,426700409000,426700409000,949,EA
O,52036307,,,
I,426700410000,426700410000,296,EA
O,52036307,,,
I,426700414000,426700414000,208,EA
O,52036307,,,
I,426700415000,426700415000,132,EA
