H,20130731,1130,PT,ASM
O,52033661,,,
I,4260004B9000,4260004B9000,315,EA
O,52033661,,,
I,4260004C0000,4260004C0000,155,EA
O,52033661,,,
I,4260004C1000,4260004C1000,174,EA
O,52033661,,,
I,4260004C2000,4260004C2000,189,EA
O,52033661,,,
I,4260004C4000,4260004C4000,84,EA
O,52033661,,,
I,4260004C5000,4260004C5000,64,EA
O,52033661,,,
I,4260004C6000,4260004C6000,31,EA
O,52033661,,,
I,42600AD09300,42600AD09300,388,EA
O,52033661,,,
I,42600AD11400,42600AD11400,242,EA
O,52033661,,,
I,42600AD13300,42600AD13300,306,EA
O,52033661,,,
I,42600AD15300,42600AD15300,346,EA
O,52033661,,,
I,42600AD17300,42600AD17300,295,EA
O,52033662,,,
I,426700406000,426700406000,388,EA
O,52033662,,,
I,426700407000,426700407000,242,EA
O,52033662,,,
I,426700408000,426700408000,306,EA
O,52033662,,,
I,426700409000,426700409000,346,EA
O,52033662,,,
I,426700410000,426700410000,295,EA
O,52033662,,,
I,426700414000,426700414000,84,EA
O,52033662,,,
I,426700415000,426700415000,64,EA
