H,20120604,1130,PT,ASM
O,52028911,,,
I,4260004B9000,4260004B9000,69,EA
O,52028911,,,
I,4260004C0000,4260004C0000,38,EA
O,52028911,,,
I,4260004C1000,4260004C1000,47,EA
O,52028911,,,
I,4260004C2000,4260004C2000,50,EA
O,52028911,,,
I,4260004C4000,4260004C4000,28,EA
O,52028911,,,
I,4260004C5000,4260004C5000,22,EA
O,52028911,,,
I,4260004C6000,4260004C6000,12,EA
O,52028911,,,
I,42600AD09300,42600AD09300,62,EA
O,52028911,,,
I,42600AD11400,42600AD11400,78,EA
O,52028911,,,
I,42600AD13300,42600AD13300,78,EA
O,52028911,,,
I,42600AD15300,42600AD15300,92,EA
O,52028911,,,
I,42600AD17300,42600AD17300,72,EA
O,52028912,,,
I,426700406000,426700406000,62,EA
O,52028912,,,
I,426700407000,426700407000,78,EA
O,52028912,,,
I,426700408000,426700408000,78,EA
O,52028912,,,
I,426700409000,426700409000,92,EA
O,52028912,,,
I,426700410000,426700410000,72,EA
O,52028912,,,
I,426700414000,426700414000,28,EA
O,52028912,,,
I,426700415000,426700415000,22,EA
