H,20140131,1130,PT,ASM
O,52035832,,,
I,4260004B9000,4260004B9000,471,EA
O,52035832,,,
I,4260004C0000,4260004C0000,298,EA
O,52035832,,,
I,4260004C1000,4260004C1000,304,EA
O,52035832,,,
I,4260004C2000,4260004C2000,335,EA
O,52035832,,,
I,4260004C4000,4260004C4000,332,EA
O,52035832,,,
I,4260004C5000,4260004C5000,24,EA
O,52035832,,,
I,4260004C6000,4260004C6000,12,EA
O,52035832,,,
I,42600AD09300,42600AD09300,576,EA
O,52035832,,,
I,42600AD11400,42600AD11400,366,EA
O,52035832,,,
I,42600AD13300,42600AD13300,594,EA
O,52035832,,,
I,42600AD15300,42600AD15300,604,EA
O,52035832,,,
I,42600AD17300,42600AD17300,344,EA
O,52035833,,,
I,426700406000,426700406000,577,EA
O,52035833,,,
I,426700407000,426700407000,366,EA
O,52035833,,,
I,426700408000,426700408000,594,EA
O,52035833,,,
I,426700409000,426700409000,604,EA
O,52035833,,,
I,426700410000,426700410000,344,EA
O,52035833,,,
I,426700414000,426700414000,333,EA
O,52035833,,,
I,426700415000,426700415000,24,EA
