H,20130319,1130,PT,ASM
O,52031867,,,
I,4260004B9000,4260004B9000,368,EA
O,52031867,,,
I,4260004C0000,4260004C0000,259,EA
O,52031867,,,
I,4260004C1000,4260004C1000,332,EA
O,52031867,,,
I,4260004C2000,4260004C2000,351,EA
O,52031867,,,
I,4260004C4000,4260004C4000,270,EA
O,52031867,,,
I,4260004C5000,4260004C5000,140,EA
O,52031867,,,
I,4260004C6000,4260004C6000,70,EA
O,52031867,,,
I,42600AD09300,42600AD09300,326,EA
O,52031867,,,
I,42600AD11400,42600AD11400,410,EA
O,52031867,,,
I,426700406000,426700406000,327,EA
O,52031867,,,
I,426700414000,426700414000,270,EA
O,52031867,,,
I,426700415000,426700415000,140,EA
O,52031868,,,
I,42600AD13300,42600AD13300,510,EA
O,52031868,,,
I,42600AD15300,42600AD15300,666,EA
O,52031868,,,
I,42600AD17300,42600AD17300,430,EA
O,52031868,,,
I,426700407000,426700407000,410,EA
O,52031868,,,
I,426700408000,426700408000,511,EA
O,52031868,,,
I,426700409000,426700409000,668,EA
O,52031868,,,
I,426700410000,426700410000,430,EA
