H,20110816,1130,PT,ASM
O,52025682,,,
I,4260004B9000,4260004B9000,398,EA
O,52025682,,,
I,4260004C0000,4260004C0000,241,EA
O,52025682,,,
I,4260004C1000,4260004C1000,248,EA
O,52025682,,,
I,4260004C2000,4260004C2000,273,EA
O,52025682,,,
I,42600AD09300,42600AD09300,398,EA
O,52025682,,,
I,42600AD11400,42600AD11400,398,EA
O,52025682,,,
I,42600AD13300,42600AD13300,482,EA
O,52025682,,,
I,42600AD15300,42600AD15300,498,EA
O,52025682,,,
I,42600AD17300,42600AD17300,450,EA
O,52025682,,,
I,426700406000,426700406000,398,EA
O,52025682,,,
I,426700407000,426700407000,398,EA
O,52025682,,,
I,426700408000,426700408000,482,EA
O,52025683,,,
I,4260004C4000,4260004C4000,94,EA
O,52025683,,,
I,426700409000,426700409000,499,EA
O,52025683,,,
I,426700410000,426700410000,451,EA
O,52025683,,,
I,426700414000,426700414000,94,EA
